"","draw","district","total_pop","b1_probs","b2_wgt","parent"
"1","1",1,48,0.070127820558252,0.0588235294117647,1
"2","1",2,51,0.0571563039540666,0.0333333333333333,1
"3","1",3,51,0.0553248598414818,0.0263157894736842,13
"4","1",4,51,0.0393618550060396,0.0217391304347826,18
"5","1",5,51,0.0426924525787878,0.0285714285714286,16
"6","1",6,51,0.0349388661934595,0.0208333333333333,1
"7","1",7,52,0.0479987103163404,0.0344827586206896,12
"8","1",8,51,0.0445038350949019,0.0256410256410256,8
"9","1",9,51,0.0397196753219224,0.0238095238095238,12
"10","1",10,50,0.0453504136825727,0.0303030303030303,7
"11","1",11,51,0.0313202610344871,0.0185185185185185,19
"12","1",12,51,0.0511319304550414,0.04,1
"13","1",13,49,0.0351309677671185,0.032258064516129,14
"14","1",14,51,0.0648410917784023,0.0416666666666667,3
"15","1",15,51,0.0533971123661049,0.0625,15
"16","1",16,49,0.0926140542006651,0.25,18
"17","1",17,50,0.052585090979831,0.0384615384615385,11
"18","1",18,49,0.0714258429942848,0.1,13
"19","1",19,49,0.0610857890305067,0.0555555555555556,5
"20","1",20,51,0.0397411152962527,0.037037037037037,20
"21","1",21,50,0.0282182960570664,0.0357142857142857,4
"22","1",22,49,0.0365821361280928,0.04,20
"23","1",23,51,0.0338473103975235,0.0434782608695652,5
"24","1",24,51,0.0343133864244425,0.037037037037037,10
"25","1",25,52,0.050364455954825,0.0263157894736842,1
"26","1",26,50,0.0364576443594075,0.0277777777777778,10
"27","1",27,51,0.0396093392014766,0.0625,9
"28","1",28,51,0.0298416776795822,0.04,9
"29","1",29,52,0.0614237913797928,0.0555555555555556,7
"30","1",30,51,0.0270974332565144,0.0208333333333333,16
"31","1",31,50,0.0231530763359203,0.0188679245283019,20
"32","1",32,48,0.0642648836567365,0.2,12
"33","1",33,48,0.0256258957972177,0.0526315789473684,20
"34","1",34,48,0.0576100551425323,0.2,15
"35","1",35,49,0.0506134196028949,0.0666666666666667,8
"36","1",36,48,0.0201496487353508,0.0357142857142857,11
"37","1",37,51,0.0675298807727405,0.0769230769230769,16
"38","1",38,50,0.0586443365049476,0.0666666666666667,19
"39","1",39,50,0.0615401022672174,0.1,6
"40","1",40,52,0.0279203402374684,0.032258064516129,5
"41","1",41,52,0.0505993676014062,0.1,3
"42","1",42,49,0.116531843199727,0.25,4
"43","1",43,49,0.0423969293395472,0.1,12
"44","1",44,48,0.0314439661958459,0.0833333333333333,4
"45","1",45,49,0.0243752884065966,0.0357142857142857,2
"46","1",46,48,0.0740844857235726,0.125,6
"47","1",47,48,0.0518785694047253,0.142857142857143,17
"48","1",48,48,0.0494754668579898,0.0526315789473684,1
"49","1",49,50,0.0616124681630222,0.111111111111111,19
"50","1",50,49,0,0,19
"51","2",1,48,0.0481907352426725,0.0277777777777778,2
"52","2",2,51,0.0502372119848289,0.0238095238095238,17
"53","2",3,51,0.0490164336783451,0.0285714285714286,14
"54","2",4,51,0.0499711426661743,0.0263157894736842,2
"55","2",5,51,0.0382548772273993,0.0232558139534884,10
"56","2",6,51,0.0437961520991216,0.0277777777777778,17
"57","2",7,52,0.0405606150396026,0.0357142857142857,10
"58","2",8,51,0.0429201708941803,0.0263157894736842,16
"59","2",9,51,0.0480888299264057,0.0277777777777778,17
"60","2",10,50,0.0435638444836509,0.0227272727272727,20
"61","2",11,51,0.0425227230339503,0.032258064516129,4
"62","2",12,51,0.064984449168382,0.05,8
"63","2",13,49,0.0467064986664702,0.0416666666666667,20
"64","2",14,51,0.177261161405384,0.25,1
"65","2",15,51,0.0486396725311985,0.0476190476190476,15
"66","2",16,49,0.0469291147841571,0.0476190476190476,9
"67","2",17,50,0.0506537926928325,0.04,4
"68","2",18,49,0.0424889340731936,0.0476190476190476,13
"69","2",19,49,0.0298621627327633,0.0238095238095238,1
"70","2",20,51,0.0532463837486569,0.0625,13
"71","2",21,50,0.0391739381103808,0.0555555555555556,5
"72","2",22,49,0.0309170648560498,0.0192307692307692,20
"73","2",23,51,0.0309732894902226,0.032258064516129,17
"74","2",24,51,0.0394151007383691,0.0277777777777778,9
"75","2",25,52,0.0464833742414559,0.0344827586206896,7
"76","2",26,50,0.062309071629281,0.0416666666666667,6
"77","2",27,51,0.0655219681147471,0.142857142857143,4
"78","2",28,51,0.0484712858606596,0.0454545454545454,3
"79","2",29,52,0.0370147620487017,0.0357142857142857,14
"80","2",30,51,0.0532375152409987,0.0526315789473684,15
"81","2",31,50,0.0343568158827335,0.032258064516129,10
"82","2",32,48,0.0427036713865667,0.0625,8
"83","2",33,48,0.0514946346894361,0.0526315789473684,9
"84","2",34,48,0.0407697042839752,0.0714285714285714,10
"85","2",35,49,0.0943931347192485,0.111111111111111,13
"86","2",36,48,0.0468831600828654,0.0769230769230769,11
"87","2",37,51,0.0695206348093321,0.0833333333333333,15
"88","2",38,50,0.0641293100214572,0.0625,12
"89","2",39,50,0.0441786364622944,0.0526315789473684,20
"90","2",40,52,0.0656421677971839,0.0769230769230769,10
"91","2",41,52,0.041677926335179,0.037037037037037,1
"92","2",42,49,0.0218381670170697,0.0344827586206896,8
"93","2",43,49,0.0280863148072848,0.0714285714285714,1
"94","2",44,48,0.0619212330617702,0.142857142857143,8
"95","2",45,49,0.0406382229527855,0.0588235294117647,9
"96","2",46,48,0.0283832226815752,0.142857142857143,6
"97","2",47,49,0.0485319886746522,0.0769230769230769,12
"98","2",48,48,0.0588500485541404,0.125,4
"99","2",49,50,0.045813924373833,0.166666666666667,11
"100","2",50,48,0,0,3
"101","3",1,48,0.0401935096020013,0.0192307692307692,3
"102","3",2,51,0.0400533039919413,0.02,19
"103","3",3,51,0.0483571683926114,0.0238095238095238,11
"104","3",4,51,0.0518457352334232,0.0357142857142857,18
"105","3",5,51,0.0578570229834407,0.037037037037037,12
"106","3",6,51,0.0387908576215282,0.03125,7
"107","3",7,52,0.0367467273381044,0.0227272727272727,20
"108","3",8,51,0.044090199252425,0.0217391304347826,7
"109","3",9,51,0.0422211936000514,0.0238095238095238,12
"110","3",10,50,0.0446054244534726,0.0285714285714286,8
"111","3",11,51,0.0554835858416266,0.04,9
"112","3",12,51,0.0381360051715265,0.0294117647058823,19
"113","3",13,49,0.0463244363720496,0.0208333333333333,12
"114","3",14,51,0.0652231855292414,0.0666666666666667,20
"115","3",15,51,0.0695275180008113,0.0833333333333333,17
"116","3",16,49,0.0475109275766063,0.0344827586206896,3
"117","3",17,50,0.0412279707578212,0.0769230769230769,18
"118","3",18,49,0.10571353972795,0.2,10
"119","3",19,49,0.0279036865922331,0.0277777777777778,13
"120","3",20,51,0.0457726270127593,0.0555555555555556,9
"121","3",21,50,0.0281752461219359,0.024390243902439,1
"122","3",22,49,0.0345000122526776,0.04,20
"123","3",23,51,0.0448438708571465,0.0588235294117647,6
"124","3",24,51,0.0545106256747446,0.0384615384615385,3
"125","3",25,52,0.0418723819014342,0.0208333333333333,11
"126","3",26,50,0.0350776132747368,0.0285714285714286,4
"127","3",27,51,0.0252054286978879,0.0357142857142857,20
"128","3",28,51,0.0649833346512867,0.0909090909090909,17
"129","3",29,52,0.0466696316538218,0.0384615384615385,9
"130","3",30,51,0.0498391442773695,0.0769230769230769,16
"131","3",31,50,0.0765622332009191,0.142857142857143,19
"132","3",32,48,0.0779166895675352,0.166666666666667,16
"133","3",33,48,0.0518041805207333,0.0476190476190476,9
"134","3",34,48,0.0508953248301456,0.0909090909090909,14
"135","3",35,49,0.0555620642699941,0.037037037037037,18
"136","3",36,48,0.0372735178763095,0.04,13
"137","3",37,51,0.0319846404529375,0.0416666666666667,13
"138","3",38,50,0.0264311702729556,0.04,17
"139","3",39,50,0.131176675755469,0.5,5
"140","3",40,52,0.0353722425415954,0.0588235294117647,14
"141","3",41,52,0.0373896609788503,0.05,7
"142","3",42,49,0.0404097655031537,0.0555555555555556,19
"143","3",43,49,0.01071582345089,0.0555555555555556,7
"144","3",44,48,0.0299588515348462,0.0526315789473684,19
"145","3",45,49,0.0868348103763935,0.2,16
"146","3",46,48,0.011143752124054,0.0357142857142857,17
"147","3",47,50,0.048653586238435,0.1,1
"148","3",48,48,0.0437929298617263,0.1,16
"149","3",49,49,0.0339966046391222,0.0434782608695652,9
"150","3",50,48,0,0,5
"151","4",1,48,0.0435901601376276,0.0227272727272727,4
"152","4",2,51,0.0467917394597142,0.0238095238095238,16
"153","4",3,51,0.0470513743753019,0.02,2
"154","4",4,51,0.0554154216297219,0.0416666666666667,6
"155","4",5,51,0.0568532535579621,0.04,6
"156","4",6,51,0.0493651064968065,0.0333333333333333,19
"157","4",7,52,0.0624353956052978,0.03125,11
"158","4",8,51,0.0406123618332835,0.0217391304347826,13
"159","4",9,51,0.0558223278614704,0.04,12
"160","4",10,50,0.0542867084588887,0.0476190476190476,8
"161","4",11,51,0.0421408220008985,0.0263157894736842,5
"162","4",12,51,0.0511025554467052,0.0476190476190476,11
"163","4",13,49,0.0346025017915296,0.03125,1
"164","4",14,51,0.0490780745292969,0.0277777777777778,3
"165","4",15,51,0.0515108262868259,0.0555555555555556,15
"166","4",16,49,0.0535265309796268,0.0769230769230769,18
"167","4",17,50,0.036182377341528,0.025,7
"168","4",18,49,0.0424364768910294,0.0666666666666667,7
"169","4",19,49,0.0688569052131234,0.0555555555555556,9
"170","4",20,51,0.0471306962985338,0.037037037037037,11
"171","4",21,50,0.0323310679295969,0.04,4
"172","4",22,49,0.0649408879047075,0.032258064516129,1
"173","4",23,51,0.0558782768517565,0.0909090909090909,20
"174","4",24,51,0.0763637926414213,0.0714285714285714,19
"175","4",25,52,0.0543409654426189,0.0625,14
"176","4",26,50,0.0267982679966829,0.0166666666666667,1
"177","4",27,51,0.0430593242239488,0.0833333333333333,4
"178","4",28,51,0.0522639804976729,0.0476190476190476,18
"179","4",29,52,0.0530870700939891,0.0476190476190476,14
"180","4",30,51,0.053766191451624,0.04,16
"181","4",31,50,0.0287835402971074,0.0285714285714286,16
"182","4",32,48,0.101950530563523,0.166666666666667,16
"183","4",33,48,0.0478328463391697,0.0909090909090909,9
"184","4",34,48,0.0283982860150632,0.0303030303030303,13
"185","4",35,49,0.0393156190491098,0.0344827586206896,15
"186","4",36,48,0.0595360492830705,0.1,2
"187","4",37,51,0.0877541873720014,0.333333333333333,18
"188","4",38,50,0.0592292805972998,0.0833333333333333,9
"189","4",39,50,0.027800056776841,0.037037037037037,11
"190","4",40,52,0.0469300500025611,0.1,6
"191","4",41,52,0.0445122403006195,0.25,11
"192","4",42,49,0.0602021337885717,0.0588235294117647,17
"193","4",43,49,0.0102098648552447,0.0344827586206896,12
"194","4",44,48,0.025019958227725,0.025,5
"195","4",45,49,0.0833643461797993,0.125,15
"196","4",46,48,0.0874414953743262,0.0769230769230769,2
"197","4",47,48,0.0267800865940314,0.0714285714285714,3
"198","4",48,48,0.0294287431951009,0.0769230769230769,13
"199","4",49,51,0.0528753364504015,0.111111111111111,9
"200","4",50,48,0,0,19
"201","5",1,48,0.0519318693489152,0.032258064516129,5
"202","5",2,51,0.0452051150080171,0.0222222222222222,11
"203","5",3,51,0.0426394515427554,0.024390243902439,2
"204","5",4,51,0.0487651122946242,0.025,5
"205","5",5,51,0.0389948777522108,0.0192307692307692,9
"206","5",6,51,0.0425318956747285,0.0333333333333333,6
"207","5",7,52,0.0477082425295988,0.03125,18
"208","5",8,51,0.0524883815420379,0.0434782608695652,5
"209","5",9,51,0.0414470833653702,0.03125,20
"210","5",10,50,0.0379604951156542,0.0196078431372549,13
"211","5",11,51,0.0600668601050145,0.0476190476190476,11
"212","5",12,51,0.037726502115988,0.0277777777777778,19
"213","5",13,49,0.065078557788095,0.0416666666666667,11
"214","5",14,51,0.0411787488393631,0.0212765957446809,20
"215","5",15,51,0.0446027811726734,0.0588235294117647,20
"216","5",16,49,0.0531088691861283,0.05,16
"217","5",17,50,0.0899214855490008,0.142857142857143,6
"218","5",18,49,0.0428684886098415,0.0588235294117647,1
"219","5",19,49,0.0604080007187746,0.0333333333333333,1
"220","5",20,51,0.0306566649596669,0.0357142857142857,10
"221","5",21,50,0.0320157055122812,0.0277777777777778,9
"222","5",22,49,0.0675999621795136,0.0416666666666667,4
"223","5",23,51,0.0705816997454261,0.142857142857143,20
"224","5",24,51,0.0244003814789173,0.02,15
"225","5",25,52,0.0532122439296091,0.0344827586206896,17
"226","5",26,50,0.0712753537108755,0.0588235294117647,10
"227","5",27,51,0.0634435042199772,0.0909090909090909,4
"228","5",28,51,0.0617985815884651,0.0555555555555556,6
"229","5",29,52,0.0326993662346161,0.04,10
"230","5",30,51,0.0507572947890695,0.037037037037037,17
"231","5",31,50,0.0451173361588565,0.0526315789473684,3
"232","5",32,48,0.0401022666867457,0.142857142857143,18
"233","5",33,48,0.0637334727423751,0.142857142857143,4
"234","5",34,48,0.0236120076770502,0.0227272727272727,10
"235","5",35,49,0.0700472857604576,0.0833333333333333,10
"236","5",36,48,0.0616361108096916,0.0666666666666667,6
"237","5",37,51,0.0560596148530598,0.0909090909090909,2
"238","5",38,50,0.0246553143778903,0.0285714285714286,11
"239","5",39,50,0.0249457652005987,0.025,1
"240","5",40,52,0.0301399404814322,0.0588235294117647,8
"241","5",41,52,0.0327812753594807,0.037037037037037,12
"242","5",42,49,0.0332719053329328,0.0909090909090909,8
"243","5",43,49,0.0740521289802565,0.125,14
"244","5",44,48,0.0364896275757099,0.166666666666667,9
"245","5",45,49,0.0421299142561023,0.0476190476190476,3
"246","5",46,48,0.0671821501083856,0.142857142857143,3
"247","5",47,48,0.0757881857054344,0.0769230769230769,16
"248","5",48,51,0.0763400932024736,0.142857142857143,4
"249","5",49,48,0.0732478589221882,0.0909090909090909,2
"250","5",50,48,0,0,7
"251","6",1,48,0.0531872325622304,0.0285714285714286,6
"252","6",2,51,0.0671266747091123,0.0344827586206896,17
"253","6",3,51,0.0463179564648945,0.0217391304347826,19
"254","6",4,51,0.0500969151305092,0.0263157894736842,18
"255","6",5,51,0.052368665690899,0.04,1
"256","6",6,51,0.0588206365585953,0.0454545454545454,19
"257","6",7,52,0.0591650214714195,0.0238095238095238,16
"258","6",8,51,0.0466693453766305,0.0238095238095238,13
"259","6",9,51,0.043582038279345,0.0357142857142857,12
"260","6",10,50,0.0425640497125547,0.025,1
"261","6",11,51,0.0290300539924714,0.0153846153846154,2
"262","6",12,51,0.0362030429167181,0.0263157894736842,9
"263","6",13,49,0.0452357312535942,0.0303030303030303,12
"264","6",14,51,0.0345691019650139,0.0303030303030303,2
"265","6",15,51,0.051818470750341,0.0416666666666667,16
"266","6",16,49,0.0383600797495678,0.0285714285714286,4
"267","6",17,50,0.0428576687308289,0.0666666666666667,2
"268","6",18,49,0.0553158960366257,0.05,16
"269","6",19,49,0.0871305768711952,0.0434782608695652,18
"270","6",20,51,0.0375136353764402,0.0303030303030303,15
"271","6",21,50,0.0337317503211707,0.04,4
"272","6",22,49,0.0501767354328579,0.024390243902439,1
"273","6",23,51,0.0463908010965431,0.04,20
"274","6",24,51,0.0450997323044648,0.0526315789473684,4
"275","6",25,52,0.0784550106837763,0.0625,18
"276","6",26,50,0.0669061415587875,0.0625,7
"277","6",27,51,0.056808537567937,0.0434782608695652,19
"278","6",28,51,0.0813419341605598,0.1,7
"279","6",29,52,0.104765224611287,0.166666666666667,14
"280","6",30,51,0.0682058284872795,0.1,14
"281","6",31,50,0.0468121972493119,0.0454545454545454,18
"282","6",32,48,0.0408349160345309,0.0666666666666667,6
"283","6",33,48,0.0442473502976516,0.037037037037037,14
"284","6",34,48,0.0661877870170378,0.166666666666667,14
"285","6",35,49,0.0280364147156377,0.0454545454545454,2
"286","6",36,48,0.108324347007924,0.0625,14
"287","6",37,51,0.101184083348537,0.5,19
"288","6",38,50,0.0349076584514257,0.0555555555555556,9
"289","6",39,50,0.0487722612122901,0.0625,15
"290","6",40,52,0.0570685964474902,0.0769230769230769,10
"291","6",41,52,0.0378101215495896,0.0714285714285714,9
"292","6",42,49,0.0440794484451061,0.0909090909090909,7
"293","6",43,49,0.088558145330013,0.166666666666667,13
"294","6",44,48,0.0581405493788421,0.0714285714285714,11
"295","6",45,49,0.0163020849484825,0.0555555555555556,15
"296","6",46,48,0.0500929918357534,0.0909090909090909,4
"297","6",47,48,0.0352198090360242,0.1,14
"298","6",48,49,0.0326364549375839,0.0769230769230769,20
"299","6",49,50,0.0706212539848086,0.1,9
"300","6",50,48,0,0,17
"301","7",1,48,0.0519318693489152,0.032258064516129,7
"302","7",2,51,0.0517040957644446,0.03125,3
"303","7",3,51,0.0543746391415638,0.0434782608695652,8
"304","7",4,51,0.0584231031054052,0.0357142857142857,13
"305","7",5,51,0.0578127443450317,0.037037037037037,19
"306","7",6,51,0.0408018655707583,0.0285714285714286,4
"307","7",7,52,0.0402384313890928,0.0238095238095238,9
"308","7",8,51,0.0552446881439718,0.04,8
"309","7",9,51,0.0494448538447894,0.03125,12
"310","7",10,50,0.0467983666253782,0.0277777777777778,17
"311","7",11,51,0.0696146701962748,0.0666666666666667,16
"312","7",12,51,0.0358396026041208,0.025,12
"313","7",13,49,0.0293101392394332,0.0222222222222222,19
"314","7",14,51,0.0438820515570115,0.0344827586206896,9
"315","7",15,51,0.0400780064253596,0.0357142857142857,2
"316","7",16,49,0.0571077239253637,0.0384615384615385,18
"317","7",17,50,0.029480445433113,0.0208333333333333,17
"318","7",18,49,0.0246755399610228,0.0277777777777778,3
"319","7",19,49,0.0339607034703306,0.0263157894736842,6
"320","7",20,51,0.0982951654469126,0.333333333333333,2
"321","7",21,50,0.0410453350019618,0.0232558139534884,20
"322","7",22,49,0.0764678909611215,0.142857142857143,8
"323","7",23,51,0.0753828113112513,0.142857142857143,19
"324","7",24,51,0.0900192564589947,0.0769230769230769,17
"325","7",25,52,0.0643945108031795,0.0434782608695652,14
"326","7",26,50,0.0720370670844699,0.0833333333333333,10
"327","7",27,51,0.0231826142351514,0.027027027027027,4
"328","7",28,51,0.0432906436792654,0.0434782608695652,15
"329","7",29,52,0.0453297322671925,0.05,15
"330","7",30,51,0.0234759401775639,0.037037037037037,14
"331","7",31,50,0.0374927655406262,0.037037037037037,13
"332","7",32,48,0.0326116486782739,0.0714285714285714,2
"333","7",33,48,0.0475423720350907,0.0833333333333333,19
"334","7",34,48,0.0456312084511241,0.0769230769230769,20
"335","7",35,49,0.0515535269409637,0.0588235294117647,11
"336","7",36,48,0.0356795464000208,0.0625,10
"337","7",37,51,0.0490042727039624,0.0909090909090909,12
"338","7",38,49,0.0572982087895993,0.0909090909090909,14
"339","7",39,52,0.0750608244405184,0.0909090909090909,15
"340","7",40,51,0.0576219901281398,0.142857142857143,19
"341","7",41,49,0.0935584407843564,0.125,16
"342","7",42,49,0.0649104719367885,0.0625,8
"343","7",43,48,0.080184483798742,0.111111111111111,4
"344","7",44,51,0.0980350714651647,0.125,9
"345","7",45,50,0.0861030870171033,0.166666666666667,14
"346","7",46,49,0.0710891170322967,0.0909090909090909,11
"347","7",47,48,0.0520250562329799,0.0909090909090909,3
"348","7",48,49,0.0737952823820308,0.2,9
"349","7",49,49,0.0443589495757468,0.0625,14
"350","7",50,48,0,0,13
"351","8",1,48,0.0446159513104836,0.0238095238095238,8
"352","8",2,51,0.0421149722898927,0.0208333333333333,8
"353","8",3,51,0.0615480944687173,0.04,8
"354","8",4,51,0.0402465015299914,0.0227272727272727,1
"355","8",5,51,0.0466882142665112,0.0227272727272727,16
"356","8",6,51,0.0461888541770082,0.0277777777777778,2
"357","8",7,52,0.0734903533754155,0.0833333333333333,3
"358","8",8,51,0.0645266961484029,0.0434782608695652,19
"359","8",9,51,0.0537204716104854,0.0294117647058823,8
"360","8",10,50,0.0418094752783891,0.0208333333333333,20
"361","8",11,51,0.0422264290377086,0.0188679245283019,4
"362","8",12,51,0.044781689964623,0.0263157894736842,10
"363","8",13,49,0.0471824121977445,0.0588235294117647,18
"364","8",14,51,0.0364156140370047,0.032258064516129,8
"365","8",15,51,0.0452760297376884,0.0625,3
"366","8",16,49,0.0313604526766766,0.0238095238095238,6
"367","8",17,50,0.0435781831972381,0.05,6
"368","8",18,49,0.0497052598287701,0.0526315789473684,5
"369","8",19,49,0.097843785072959,0.05,5
"370","8",20,51,0.0954270502887555,0.0833333333333333,10
"371","8",21,50,0.0247915609645211,0.03125,17
"372","8",22,49,0.0612596663118836,0.032258064516129,13
"373","8",23,51,0.0662039653654978,0.0434782608695652,20
"374","8",24,51,0.0475795170955435,0.0476190476190476,20
"375","8",25,52,0.0445402265900573,0.0476190476190476,20
"376","8",26,50,0.0340799911505815,0.0526315789473684,1
"377","8",27,51,0.0522503146976765,0.125,16
"378","8",28,51,0.0375418065029534,0.0384615384615385,17
"379","8",29,52,0.0322732945455282,0.027027027027027,19
"380","8",30,51,0.0647153836036299,0.0588235294117647,20
"381","8",31,50,0.0923015039001896,0.125,18
"382","8",32,48,0.041728937719016,0.04,8
"383","8",33,48,0.0367968170090139,0.0416666666666667,18
"384","8",34,48,0.0563726749460729,0.166666666666667,17
"385","8",35,49,0.0461578357345839,0.0769230769230769,12
"386","8",36,48,0.0519456435554306,0.0384615384615385,1
"387","8",37,51,0.0479028130628741,0.0666666666666667,10
"388","8",38,50,0.0731775981628786,0.0588235294117647,15
"389","8",39,50,0.0409256208894777,0.0526315789473684,15
"390","8",40,52,0.0990423767680964,0.142857142857143,16
"391","8",41,52,0.0293529084218329,0.0588235294117647,20
"392","8",42,49,0.0672905998805394,0.142857142857143,20
"393","8",43,49,0.0140332783422729,0.04,1
"394","8",44,48,0.0384394780016155,0.0588235294117647,19
"395","8",45,49,0.0265960338784322,0.05,2
"396","8",46,48,0.0499773398850205,0.125,19
"397","8",47,48,0.0521674472660191,0.0769230769230769,11
"398","8",48,49,0.0453680649866376,0.111111111111111,15
"399","8",49,50,0.0774959009974626,0.166666666666667,14
"400","8",50,48,0,0,12
"401","9",1,48,0.0485530784093448,0.0238095238095238,9
"402","9",2,51,0.0547823029791363,0.0384615384615385,8
"403","9",3,51,0.0551814625455604,0.0357142857142857,15
"404","9",4,51,0.0668473216475267,0.0416666666666667,7
"405","9",5,51,0.0490380688122348,0.0294117647058823,2
"406","9",6,51,0.0465913573490103,0.04,16
"407","9",7,52,0.0426329254127196,0.0294117647058823,18
"408","9",8,51,0.0362745770624174,0.02,5
"409","9",9,51,0.0473301459018868,0.032258064516129,9
"410","9",10,50,0.0468807792117764,0.032258064516129,11
"411","9",11,51,0.063521801642761,0.1,1
"412","9",12,51,0.0383070865258863,0.0285714285714286,13
"413","9",13,49,0.0300014170353579,0.0277777777777778,14
"414","9",14,51,0.042396968614584,0.0227272727272727,13
"415","9",15,51,0.0493727212961876,0.0166666666666667,20
"416","9",16,49,0.0434649106943777,0.0277777777777778,2
"417","9",17,50,0.0407753364524769,0.0555555555555556,18
"418","9",18,49,0.026326196006127,0.0238095238095238,20
"419","9",19,49,0.0452555895128999,0.0476190476190476,2
"420","9",20,51,0.05366512787775,0.142857142857143,18
"421","9",21,50,0.070108388812842,0.0714285714285714,15
"422","9",22,49,0.0374819853882524,0.0454545454545454,8
"423","9",23,51,0.0620477661925932,0.0454545454545454,1
"424","9",24,51,0.0442480042395865,0.0526315789473684,7
"425","9",25,52,0.060590870026011,0.03125,10
"426","9",26,50,0.0420863643926812,0.0434782608695652,10
"427","9",27,51,0.0673086994586888,0.0526315789473684,14
"428","9",28,51,0.0428337605700463,0.0277777777777778,19
"429","9",29,52,0.0347314055188894,0.0294117647058823,10
"430","9",30,51,0.0629388904238377,0.1,4
"431","9",31,50,0.0614419198222485,0.111111111111111,10
"432","9",32,48,0.0386184190590477,0.0526315789473684,5
"433","9",33,48,0.0285997824829599,0.0263157894736842,12
"434","9",34,48,0.0840403673718314,0.2,16
"435","9",35,49,0.0501021335591692,0.0909090909090909,15
"436","9",36,48,0.0455285649478662,0.111111111111111,1
"437","9",37,51,0.0493537365050081,0.0769230769230769,11
"438","9",38,50,0.058649998785615,0.0909090909090909,19
"439","9",39,50,0.0384800423541884,0.0384615384615385,5
"440","9",40,52,0.0246098469383311,0.0303030303030303,1
"441","9",41,52,0.0439623680819091,0.0714285714285714,3
"442","9",42,49,0.134031296947192,0.2,6
"443","9",43,49,0.0803675896793509,0.0833333333333333,12
"444","9",44,48,0.0785176335606901,0.1,1
"445","9",45,49,0.0354710687534801,0.0555555555555556,20
"446","9",46,48,0.0887050196571681,0.166666666666667,2
"447","9",47,48,0.0662283716670056,0.0714285714285714,16
"448","9",48,51,0.0443125875553772,0.166666666666667,4
"449","9",49,48,0.0550832576464388,0.0588235294117647,9
"450","9",50,48,0,0,11
"451","10",1,48,0.0417344009472044,0.0208333333333333,10
"452","10",2,51,0.0454040443626071,0.0192307692307692,10
"453","10",3,51,0.0513615154472426,0.05,12
"454","10",4,51,0.0474648584385007,0.027027027027027,19
"455","10",5,51,0.0528546824917201,0.0357142857142857,3
"456","10",6,51,0.044956929389975,0.0263157894736842,3
"457","10",7,52,0.0416198812139797,0.0263157894736842,3
"458","10",8,51,0.0551682646030796,0.0434782608695652,3
"459","10",9,51,0.0509227907778835,0.0434782608695652,17
"460","10",10,50,0.079449661969976,0.0416666666666667,5
"461","10",11,51,0.0527333256940347,0.0625,8
"462","10",12,51,0.0343001196060991,0.0217391304347826,16
"463","10",13,49,0.0521812985823979,0.0416666666666667,10
"464","10",14,51,0.0368184589355538,0.0416666666666667,2
"465","10",15,51,0.0344229116235165,0.0263157894736842,7
"466","10",16,49,0.0354629252536979,0.0196078431372549,6
"467","10",17,50,0.0393681268722045,0.0217391304347826,3
"468","10",18,49,0.103261253864529,0.166666666666667,13
"469","10",19,49,0.0277689063551645,0.0178571428571428,5
"470","10",20,51,0.0339988366910348,0.0434782608695652,5
"471","10",21,50,0.121524576648985,0.25,9
"472","10",22,49,0.0352252042542656,0.0303030303030303,19
"473","10",23,51,0.0509896070034151,0.0357142857142857,6
"474","10",24,51,0.0922016378587353,0.0666666666666667,20
"475","10",25,52,0.038937541175271,0.032258064516129,11
"476","10",26,50,0.0614723804077869,0.0526315789473684,16
"477","10",27,51,0.0842616938082517,0.0714285714285714,8
"478","10",28,51,0.0333891240910554,0.024390243902439,11
"479","10",29,52,0.0654244197819059,0.0909090909090909,12
"480","10",30,51,0.0334794681360291,0.0434782608695652,7
"481","10",31,50,0.0453035730379775,0.1,12
"482","10",32,48,0.042499339746817,0.142857142857143,19
"483","10",33,48,0.0902254653761478,0.1,13
"484","10",34,48,0.0609984063709505,0.0833333333333333,8
"485","10",35,49,0.111697442178666,0.142857142857143,11
"486","10",36,48,0.0362671016953959,0.0588235294117647,13
"487","10",37,51,0.0187700097030893,0.0178571428571428,4
