"","draw","district","total_pop","b1_probs","b2_wgt","parent"
"1","1",1,52,0.0782334825693211,0.0625,1
"2","1",2,50,0.0700257061885385,0.0909090909090909,6
"3","1",3,52,0.0468079467863008,0.0217391304347826,18
"4","1",4,48,0.0389655141243498,0.0227272727272727,18
"5","1",5,51,0.0403679069364251,0.0217391304347826,14
"6","1",6,50,0.0365618287392637,0.0227272727272727,8
"7","1",7,52,0.0515101167057584,0.04,17
"8","1",8,48,0.04195604296434,0.0285714285714286,16
"9","1",9,49,0.0560552298918836,0.0476190476190476,11
"10","1",10,50,0.0444400898513751,0.024390243902439,14
"11","1",11,49,0.0329805638160212,0.025,7
"12","1",12,49,0.071453853128976,0.0909090909090909,18
"13","1",13,49,0.0391128198549707,0.025,20
"14","1",14,50,0.0301782496750741,0.0277777777777778,16
"15","1",15,50,0.0305877610363654,0.0263157894736842,9
"16","1",16,52,0.0298451551570688,0.0256410256410256,14
"17","1",17,51,0.0470657798312594,0.0238095238095238,13
"18","1",18,52,0.0845184294754293,0.0769230769230769,14
"19","1",19,48,0.0353927150855515,0.0232558139534884,17
"20","1",20,48,0.0354557565904473,0.0476190476190476,11
"21","1",21,52,0.0446066422843987,0.0333333333333333,9
"22","1",22,51,0.0610408858331939,0.0555555555555556,7
"23","1",23,50,0.113437109614118,0.0769230769230769,20
"24","1",24,49,0.0477525024278277,0.0333333333333333,16
"25","1",25,48,0.0311459925033237,0.04,18
"26","1",26,51,0.0315365767934139,0.0416666666666667,15
"27","1",27,48,0.0202336935993022,0.03125,9
"28","1",28,51,0.0283176049476201,0.0256410256410256,3
"29","1",29,50,0.0377009291617045,0.0384615384615385,16
"30","1",30,51,0.0454228215632646,0.0588235294117647,4
"31","1",31,51,0.0557827634605355,0.0769230769230769,4
"32","1",32,51,0.0590772451766442,0.0476190476190476,18
"33","1",33,50,0.0384568576318619,0.0294117647058823,20
"34","1",34,50,0.0243573245245279,0.027027027027027,1
"35","1",35,49,0.053318309310074,0.2,3
"36","1",36,51,0.0422867524878495,0.0476190476190476,2
"37","1",37,49,0.0438889644941013,0.05,2
"38","1",38,48,0.037574428760969,0.0434782608695652,3
"39","1",39,49,0.0168643329352608,0.027027027027027,3
"40","1",40,49,0.0259826896878129,0.0344827586206896,4
"41","1",41,51,0.0311170013567437,0.04,19
"42","1",42,51,0.0724026002944988,0.111111111111111,20
"43","1",43,52,0.0258138120662831,0.0625,10
"44","1",44,49,0.0456236438219587,0.111111111111111,1
"45","1",45,48,0.108121116331703,0.142857142857143,11
"46","1",46,50,0.060177858885918,0.0526315789473684,7
"47","1",47,51,0.0887046808715532,0.111111111111111,18
"48","1",48,50,0.0392511914273013,0.0714285714285714,20
"49","1",49,49,0.0673040678734312,0.142857142857143,17
"50","1",50,51,0,0,12
"51","2",1,52,0.0415054782893438,0.0208333333333333,2
"52","2",2,50,0.0454385398821827,0.0384615384615385,5
