"","draw","district","total_pop","b1_probs","b2_wgt","parent"
"1","1",1,759911,0.0826320634117271,0.0263157894736842,1
"2","1",2,756832,0.0465173898104302,0.00925925925925926,7
"3","1",3,756862,0.0561352907557923,0.012987012987013,8
"4","1",4,757695,0.0413035391558586,0.00704225352112676,17
"5","1",5,763546,0.0925953753003477,0.032258064516129,11
"6","1",6,760469,0.0491424317427943,0.00543478260869565,5
"7","1",7,762549,0.048226323462787,0.0120481927710843,1
"8","1",8,760287,0.0425801855075221,0.00869565217391304,17
"9","1",9,756686,0.060147983474435,0.0117647058823529,9
"10","1",10,758548,0.0649418422818499,0.0144927536231884,8
"11","1",11,759071,0.0502809280921274,0.00833333333333333,6
"12","1",12,756982,0.062416859701379,0.0188679245283019,14
"13","1",13,757433,0.0333072439210477,0.006993006993007,11
"14","1",14,760398,0.0523789069522756,0.0140845070422535,19
"15","1",15,758324,0.0675066389352312,0.0208333333333333,8
"16","1",16,762442,0.0313718687185819,0.00628930817610063,12
"17","1",17,757528,0.0933270531479244,0.03125,10
"18","1",18,758357,0.0586116479624075,0.0181818181818182,11
"19","1",19,757358,0.0548347714921223,0.0303030303030303,17
"20","1",20,758008,0.0395626013957612,0.0169491525423729,8
"21","1",21,757516,0.0474933528740677,0.0078125,16
"22","1",22,761625,0.0756581856914318,0.0285714285714286,6
"23","1",23,757479,0.0494001856283372,0.0192307692307692,11
"24","1",24,756815,0.0427529441582504,0.0188679245283019,4
"25","1",25,759663,0.039896416644733,0.0263157894736842,19
"26","1",26,758707,0.0380751670663887,0.012987012987013,2
"27","1",27,757026,0.0480786686228838,0.010989010989011,14
"28","1",28,759840,0.0509915936155011,0.0166666666666667,2
"29","1",29,760477,0.0527989730507471,0.0106382978723404,18
"30","1",30,762410,0.0461306453327781,0.0125,10
"31","1",31,761881,0.0290243481968329,0.0128205128205128,11
"32","1",32,763313,0.0539137447793356,0.03125,17
"33","1",33,757348,0.0200157335664647,0.00884955752212389,6
"34","1",34,759849,0.0279237351235019,0.02,17
"35","1",35,762375,0.177201821256074,0.0833333333333333,18
"36","1",36,760840,0.0374433355863022,0.0175438596491228,14
"37","1",37,759570,0.0470256587412329,0.0185185185185185,8
"38","1",38,759721,0.0544715218299713,0.03125,12
"39","1",39,763988,0.0354348487410435,0.0116279069767442,18
"40","1",40,761196,0.106290274911618,0.0909090909090909,4
"41","1",41,763158,0.0479173211996903,0.0101010101010101,18
"42","1",42,763135,0.0955649438530384,0.0196078431372549,14
"43","1",43,760286,0.0351805759107736,0.0142857142857143,20
"44","1",44,763613,0.0847765024921797,0.0769230769230769,15
"45","1",45,764041,0.0249525807144166,0.015625,19
"46","1",46,763420,0.0446765988822434,0.0476190476190476,11
"47","1",47,761904,0.0546857560660625,0.0263157894736842,10
"48","1",48,763717,0.057279501232463,0.037037037037037,19
"49","1",49,763593,0.0569272688913518,0.0384615384615385,11
"50","1",50,763095,0.0307841627259574,0.0256410256410256,9
"51","1",51,763372,0.0480594006846418,0.0135135135135135,2
"52","1",52,763964,0,0,12
"53","2",1,759911,0.0425963490621599,0.006993006993007,2
"54","2",2,756832,0.0417106640524477,0.00826446280991735,20
"55","2",3,756862,0.0580337841719083,0.0114942528735632,13
"56","2",4,757695,0.0461252822406948,0.00719424460431655,14
"57","2",5,763546,0.0558130185954919,0.0111111111111111,19
"58","2",6,760469,0.0496919808261362,0.0123456790123457,12
"59","2",7,762549,0.0517132537329514,0.0101010101010101,18
"60","2",8,760287,0.0580696240082896,0.0106382978723404,6
"61","2",9,756686,0.0457435155666048,0.0113636363636364,7
"62","2",10,758548,0.0424781895750712,0.0078740157480315,6
"63","2",11,759071,0.0607396608172917,0.0166666666666667,7
"64","2",12,756982,0.0454652919104473,0.00833333333333333,20
"65","2",13,757433,0.0890910119837212,0.0434782608695652,19
"66","2",14,760398,0.0648092983534912,0.0192307692307692,11
"67","2",15,758324,0.0643592239206509,0.0144927536231884,19
"68","2",16,762442,0.0411282286892571,0.0113636363636364,2
"69","2",17,757528,0.0569669601311491,0.0116279069767442,19
"70","2",18,758357,0.0489806779335471,0.0113636363636364,8
