"","draw","district","total_pop","b1_probs","b2_wgt","parent"
"1","1",1,760495,0.042083013564451,0.00704225352112676,1
"2","1",2,758599,0.0483122861547416,0.00847457627118644,12
"3","1",3,763192,0.0537051460310435,0.0158730158730159,15
"4","1",4,757070,0.0513945747003427,0.0116279069767442,2
"5","1",5,764013,0.0899098087652305,0.0476190476190476,12
"6","1",6,760369,0.0631358889349822,0.0217391304347826,15
"7","1",7,759565,0.0756829991898158,0.0153846153846154,18
"8","1",8,761414,0.0564353717291094,0.00892857142857143,10
"9","1",9,761281,0.0585031509648293,0.0153846153846154,1
"10","1",10,757058,0.0463100257925113,0.0104166666666667,10
"11","1",11,762998,0.0441773129739892,0.0121951219512195,10
"12","1",12,759925,0.0425126879347087,0.0119047619047619,18
"13","1",13,760043,0.036331301632273,0.00826446280991735,18
"14","1",14,757074,0.0530408392787972,0.0125,1
"15","1",15,756873,0.051583344366389,0.012987012987013,19
"16","1",16,764050,0.0437274718643177,0.00847457627118644,14
"17","1",17,760175,0.0404620931771645,0.00813008130081301,13
"18","1",18,760438,0.0278973623351339,0.00769230769230769,14
"19","1",19,761900,0.0490960601225783,0.00847457627118644,1
"20","1",20,756639,0.0600086011388635,0.0102040816326531,17
"21","1",21,756708,0.0386640426334188,0.0114942528735632,18
"22","1",22,762535,0.0328825225981925,0.008,2
"23","1",23,757403,0.0368697823779097,0.0117647058823529,7
"24","1",24,758034,0.062742956252522,0.0106382978723404,14
"25","1",25,760818,0.0334504587205476,0.00833333333333333,7
"26","1",26,762333,0.0483107287371582,0.0166666666666667,20
"27","1",27,756560,0.0475891694531241,0.015625,15
"28","1",28,760019,0.0481420232189159,0.0099009900990099,15
"29","1",29,757564,0.0511996574328964,0.0277777777777778,10
"30","1",30,762218,0.0508322731485146,0.027027027027027,1
"31","1",31,763569,0.0422282255710458,0.0120481927710843,11
"32","1",32,760832,0.0474708415552702,0.0277777777777778,14
"33","1",33,759468,0.0441979746530133,0.0232558139534884,10
"34","1",34,762524,0.0334717199219456,0.0217391304347826,13
"35","1",35,757116,0.025577628139069,0.0114942528735632,5
"36","1",36,757946,0.0537817680340528,0.0625,15
"37","1",37,759824,0.0401932384867987,0.0263157894736842,5
"38","1",38,758548,0.0340123151796393,0.0166666666666667,20
"39","1",39,761057,0.0526902856713668,0.0333333333333333,16
"40","1",40,760990,0.0660736500528793,0.0277777777777778,12
"41","1",41,757391,0.0221991063531357,0.0104166666666667,5
"42","1",42,762035,0.0395485538899633,0.0163934426229508,12
"43","1",43,762002,0.0525148233676061,0.0175438596491228,18
"44","1",44,762700,0.0720291894865751,0.0666666666666667,10
"45","1",45,758829,0.0880508147050151,0.0769230769230769,2
"46","1",46,758670,0.0252958076888245,0.04,10
"47","1",47,762965,0.0310731626159956,0.0232558139534884,9
"48","1",48,762191,0.0609086116001099,0.111111111111111,12
"49","1",49,763195,0.0174377158615582,0.0166666666666667,14
