"","draw","district","total_pop","b1_probs","b2_wgt","parent"
"1","1",1,762245,0.0486273910546514,0.00961538461538462,1
"2","1",2,763588,0.0543459804963761,0.0099009900990099,15
"3","1",3,762600,0.043436196400972,0.00636942675159236,4
"4","1",4,759242,0.0635098876891793,0.02,16
"5","1",5,758105,0.048991850757075,0.00869565217391304,6
"6","1",6,763675,0.0400114051039133,0.00649350649350649,16
"7","1",7,759526,0.0498695420799262,0.00900900900900901,2
"8","1",8,758890,0.0454508968798095,0.00900900900900901,17
"9","1",9,759757,0.0522407993290398,0.010989010989011,13
"10","1",10,760325,0.0375703629519805,0.00826446280991735,18
"11","1",11,759050,0.0465302246455633,0.0108695652173913,5
"12","1",12,757331,0.0490060322456864,0.0178571428571428,13
"13","1",13,758887,0.0456525349462101,0.00740740740740741,16
"14","1",14,760932,0.0380665240928066,0.00806451612903226,7
"15","1",15,756568,0.0602463287522354,0.012987012987013,13
"16","1",16,762493,0.0364474148818584,0.00934579439252337,20
"17","1",17,762727,0.0740273606301244,0.025,11
"18","1",18,762165,0.0525778109711233,0.0105263157894737,13
"19","1",19,759249,0.0389860144000955,0.0126582278481013,20
"20","1",20,763625,0.041051345247391,0.0101010101010101,4
"21","1",21,758512,0.0693711874468498,0.025,12
"22","1",22,758660,0.0550076857794678,0.0117647058823529,18
"23","1",23,762095,0.0676132418487719,0.0263157894736842,20
"24","1",24,763374,0.0948455208417012,0.0357142857142857,15
"25","1",25,759096,0.0697722574787265,0.0147058823529412,11
"26","1",26,760582,0.0431053240338067,0.0104166666666667,1
"27","1",27,758712,0.0425417887092596,0.0212765957446809,19
"28","1",28,760224,0.0290100179227224,0.00757575757575758,1
"29","1",29,757235,0.0891462589423647,0.0625,3
"30","1",30,763358,0.0559339835040165,0.0344827586206896,11
"31","1",31,762316,0.0344769055973166,0.00854700854700855,18
"32","1",32,757614,0.0436799234913068,0.0196078431372549,14
"33","1",33,760056,0.0528150147728903,0.0117647058823529,14
"34","1",34,761325,0.0259204526623258,0.012987012987013,3
"35","1",35,761899,0.0252495792739015,0.0131578947368421,17
"36","1",36,759760,0.119772702551616,0.0384615384615385,10
"37","1",37,757910,0.0382216671616136,0.0140845070422535,2
"38","1",38,757371,0.0363007410932217,0.0101010101010101,4
"39","1",39,757811,0.0235752910381569,0.00826446280991735,19
"40","1",40,761441,0.0647947183713188,0.04,2
"41","1",41,763265,0.0530456065975818,0.0357142857142857,8
"42","1",42,758380,0.0289789221484245,0.0149253731343284,4
"43","1",43,760867,0.052628487385845,0.0357142857142857,1
"44","1",44,756973,0.0397965921371235,0.0166666666666667,5
"45","1",45,758369,0.0620491696264026,0.032258064516129,17
"46","1",46,763305,0.101281198070269,0.0384615384615385,8
"47","1",47,763963,0.0549632609191529,0.032258064516129,1
"48","1",48,758888,0.0247079486467001,0.0232558139534884,17
"49","1",49,764028,0.0435853815305596,0.05,5
"50","1",50,759126,0.0499079353378802,0.02,18
"51","1",51,757111,0.0469683237639575,0.1,6
"52","1",52,763617,0,0,20
"53","2",1,762245,0.0521611450277607,0.010989010989011,2
"54","2",2,763588,0.0508666649446287,0.00869565217391304,6
"55","2",3,762600,0.101179880973713,0.0277777777777778,4
"56","2",4,759242,0.045472724208923,0.00900900900900901,4
"57","2",5,758105,0.0431609550058659,0.00675675675675676,12
"58","2",6,763675,0.0542442938330823,0.00869565217391304,16
"59","2",7,759526,0.0464733354620609,0.00735294117647059,9
"60","2",8,758890,0.0600927302983223,0.0153846153846154,17
"61","2",9,759757,0.0533206228286454,0.0106382978723404,17
"62","2",10,760325,0.0456813696284944,0.0120481927710843,7
"63","2",11,759050,0.0576467618193492,0.0163934426229508,5
"64","2",12,757331,0.0411239778056749,0.008,13
"65","2",13,758887,0.0388187286880757,0.00763358778625955,2
"66","2",14,760932,0.0428723389349172,0.0153846153846154,6
"67","2",15,756568,0.0640212782960178,0.0166666666666667,17
"68","2",16,762493,0.0364207654898771,0.00806451612903226,20
"69","2",17,762727,0.033750461497469,0.00980392156862745,14
"70","2",18,762165,0.0567800982881893,0.0144927536231884,17
"71","2",19,759249,0.0518515137105829,0.0140845070422535,10
"72","2",20,763625,0.088351137944546,0.024390243902439,1
"73","2",21,758512,0.0384939088288449,0.010752688172043,3
"74","2",22,758660,0.064794991026592,0.0166666666666667,12
"75","2",23,762095,0.0571524314415334,0.0175438596491228,19
"76","2",24,763374,0.0260152635237012,0.00943396226415094,16
"77","2",25,759096,0.0413415763992389,0.012987012987013,9
"78","2",26,760582,0.0619692630714697,0.0147058823529412,19
"79","2",27,758712,0.050466110770152,0.0185185185185185,16
"80","2",28,760224,0.0547808098147965,0.0222222222222222,11
"81","2",29,757235,0.0460533937619309,0.0192307692307692,11
"82","2",30,763358,0.0287819697759729,0.0133333333333333,7
"83","2",31,762316,0.0224570273905391,0.00613496932515337,5
"84","2",32,757614,0.0729904361438337,0.03125,8
"85","2",33,760056,0.0356059062707043,0.0131578947368421,8
"86","2",34,761325,0.0292991053883717,0.0144927536231884,11
"87","2",35,761899,0.33112911860986,0.125,5
"88","2",36,759760,0.0211626935584972,0.0192307692307692,11
"89","2",37,757910,0.0736269576461621,0.0588235294117647,20
"90","2",38,757371,0.0445253293681512,0.0188679245283019,5
"91","2",39,757811,0.0649989466260058,0.0285714285714286,1
"92","2",40,761441,0.0579500023710219,0.0285714285714286,13
"93","2",41,763265,0.0544459556316392,0.0158730158730159,6
"94","2",42,758380,0.0546875007463689,0.0263157894736842,17
"95","2",43,760867,0.0412287529688236,0.0303030303030303,17
"96","2",44,756973,0.0491712642622078,0.0256410256410256,4
"97","2",45,758369,0.0473013828728063,0.025,12
"98","2",46,763305,0.0334534170131063,0.0208333333333333,9
"99","2",47,763963,0.04525467366373,0.024390243902439,15
"100","2",48,758888,0.0352069605203891,0.0714285714285714,15
"101","2",49,764028,0.0235490784758699,0.04,20
"102","2",50,759371,0.022634556840886,0.0263157894736842,4
"103","2",51,762251,0.0463247034222197,0.0217391304347826,5
"104","2",52,758232,0,0,5
"105","3",1,762245,0.0420307452922946,0.006993006993007,3
"106","3",2,763588,0.0514282991558532,0.00961538461538462,13
"107","3",3,762600,0.0426389685575695,0.00625,14
"108","3",4,759242,0.0448680031780705,0.008,19
"109","3",5,758105,0.0482267897244015,0.00884955752212389,11
"110","3",6,763675,0.0559188947211215,0.0105263157894737,16
"111","3",7,759526,0.0412292525467589,0.00657894736842105,11
"112","3",8,758890,0.0839186830517989,0.0256410256410256,2
"113","3",9,759757,0.0545843474401036,0.00884955752212389,20
"114","3",10,760325,0.0379999622844732,0.00840336134453781,20
"115","3",11,759050,0.0759385256980958,0.0142857142857143,5
"116","3",12,757331,0.0568187108087121,0.0153846153846154,8
"117","3",13,758887,0.0535047048158509,0.0196078431372549,2
"118","3",14,760932,0.0640250935939698,0.010989010989011,5
"119","3",15,756568,0.0568641357040063,0.0133333333333333,4
"120","3",16,762493,0.0408402390370972,0.0125,6
"121","3",17,762727,0.0349753467115399,0.00826446280991735,9
"122","3",18,762165,0.0734143279724016,0.0208333333333333,19
"123","3",19,759249,0.066735493470676,0.0232558139534884,20
"124","3",20,763625,0.0585231941167782,0.015625,2
"125","3",21,758512,0.0644630035198945,0.0151515151515152,17
"126","3",22,758660,0.0477101128101173,0.0144927536231884,2
"127","3",23,762095,0.0295250604872741,0.00709219858156028,12
"128","3",24,763374,0.030979080521473,0.00970873786407767,7
"129","3",25,759096,0.0488272655312796,0.0142857142857143,5
"130","3",26,760582,0.0679054661607444,0.0238095238095238,10
"131","3",27,758712,0.0397990737973116,0.0144927536231884,15
"132","3",28,760224,0.0425455536972259,0.0178571428571428,19
"133","3",29,757235,0.0409325323938609,0.0192307692307692,4
"134","3",30,763358,0.0387145055182112,0.0072463768115942,13
"135","3",31,762316,0.0790016435703303,0.0204081632653061,17
"136","3",32,757614,0.0628831009629575,0.0158730158730159,15
"137","3",33,760056,0.0531950989896501,0.0212765957446809,7
"138","3",34,761325,0.042893765188755,0.0140845070422535,3
"139","3",35,761899,0.0424456497744412,0.0103092783505155,12
"140","3",36,759760,0.0466554959211416,0.01,17
"141","3",37,757910,0.0676955973202832,0.0277777777777778,2
"142","3",38,757371,0.0392548646193979,0.0135135135135135,18
"143","3",39,757811,0.0217164249035161,0.0078740157480315,6
"144","3",40,761441,0.0501251537282448,0.0232558139534884,3
"145","3",41,763265,0.0518275537840084,0.037037037037037,6
"146","3",42,758380,0.0682333774994353,0.0153846153846154,13
"147","3",43,760867,0.06191085650184,0.0238095238095238,17
