filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62
3544660_ny_vtd_to_63_with_5000_sims,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,2969,2969,2864,1969,1153,877,362,362,128,86,58,39,36
83770649_ny_vtd_to_63_with_5000_sims,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,2870,2870,2870,2208,2208,2016,1587,1274,1136,1063,1063,424,102,46
12580624_ny_vtd_to_63_with_5000_sims,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3174,3174,3174,3174,3174,3174,3174,3174,3174,3174,3174,3121,3121,3121,3121,3121,2051,1315,1052,1052,932,832,798,622,488,244,244,46
20645286_ny_vtd_to_63_with_5000_sims,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2860,2860,2860,2860,2860,2860,1583,1583,1583,1583,1353,1353,1353,1353,1033,1033,1009,1009,888,888,451,188,184,154,89,57,27
598899_ny_vtd_to_63_with_5000_sims,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4962,4874,4870,4870,4870,4870,4870,4870,4870,4683,4683,4683,4683,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4682,4473,4473,4473,4473,4473,4473,2341,1189,972,516,382,382,225,140,138,118,32
28603861_ny_vtd_to_63_with_5000_sims,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,2426,1569,1569,1259,1095,1065,921,374,240,240,107,38
65126580_ny_vtd_to_63_with_5000_sims,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4977,4977,4977,2496,2493,2135,2135,1017,426,189,110,108,76,69,55,20
40818505_ny_vtd_to_63_with_5000_sims,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,3304,2393,2393,2393,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,1404,1198,1198,1198,1198,1133,1133,1133,974,974,759,759,759,759,619,451,444,280,280,96,63
54824634_ny_vtd_to_63_with_5000_sims,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3802,3774,3774,3774,3774,3774,3774,2266,911,656,374,374,270,270,270,270,163,79,41,21
69566733_ny_vtd_to_63_with_5000_sims,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1190,1189,1187,1039,1024,1024,1021,1021,1021,1021,1021,1021,1021,949,899,899,679,640,326,326,292,39
