filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41
29311424_new_mexico_precincts_to_42_with_5000_sims,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,2546,1835,1462,1462,1328,1328,1328,1328,710,232,160,129,24
90216549_new_mexico_precincts_to_42_with_5000_sims,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1738,1738,1738,1687,1028,879,715,610,515,460,460,459,459,426,426,343,273,269,85,20
73516206_new_mexico_precincts_to_42_with_5000_sims,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,963,963,963,963,963,566,557,557,557,557,557,557,557,557,321,321,321,205,82,21
80687500_new_mexico_precincts_to_42_with_5000_sims,1237,1237,1237,1237,1235,1235,1235,1235,1235,1235,1167,1149,1149,1149,1147,1147,1147,1147,1147,1147,1081,982,982,982,982,967,967,573,573,573,419,288,274,274,274,274,242,155,78,69,13
48013725_new_mexico_precincts_to_42_with_5000_sims,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,946,946,946,748,748,748,748,748,748,748,746,746,746,745,745,745,739,739,739,739,739,739,595,573,208,130,66,33,12
57580544_new_mexico_precincts_to_42_with_5000_sims,3386,3386,3386,3386,3386,3386,3386,3386,3386,3386,3385,3385,3385,3385,3385,3385,3385,1660,1632,1629,1499,1499,1499,1499,1468,1446,1446,1446,1311,1311,1311,1311,964,814,810,810,778,427,215,112,19
24333786_new_mexico_precincts_to_42_with_5000_sims,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,980,980,619,619,412,412,412,404,404,266,266,199,158,59,16
25289880_new_mexico_precincts_to_42_with_5000_sims,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1047,1047,1047,1047,1047,1047,1030,1030,1028,892,892,892,892,892,778,723,723,498,498,363,363,305,267,236,204,178,178,91,23
62616867_new_mexico_precincts_to_42_with_5000_sims,2451,2451,2451,2451,2451,2451,2451,2451,2451,2451,2451,2451,1772,1772,1669,1667,1667,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1618,1618,1618,1618,1176,1176,779,710,473,420,87,42,15
41961224_new_mexico_precincts_to_42_with_5000_sims,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3412,3247,1825,1825,1456,1400,1299,1299,1216,492,276,196,194,100,39,27
95554726_new_mexico_precincts_to_42_with_5000_sims,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1241,1241,1216,1216,1214,1173,1173,837,720,713,713,713,713,431,431,201,63,15
98293064_new_mexico_precincts_to_42_with_5000_sims,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,952,952,952,899,746,746,746,250,96,21
21711780_new_mexico_precincts_to_42_with_5000_sims,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1755,1755,1755,1755,1755,1704,1280,790,790,790,790,615,615,615,457,457,361,333,305,305,305,180,180,87,54,22
12279657_new_mexico_precincts_to_42_with_5000_sims,1602,1602,1602,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1591,1587,1587,1587,1587,1587,1587,1587,1554,1544,1544,1544,1544,1537,1420,1300,1292,1267,380,165,85,22
69446870_new_mexico_precincts_to_42_with_5000_sims,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,692,692,692,692,692,692,692,692,692,692,692,692,468,468,468,468,468,224,140,69,20
45908692_new_mexico_precincts_to_42_with_5000_sims,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1358,1358,1252,1220,1220,1027,1027,696,696,633,633,413,413,413,413,413,381,381,288,241,204,173,173,60,16
21387140_new_mexico_precincts_to_42_with_5000_sims,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1156,1156,1156,1156,1052,1052,834,834,723,698,604,468,468,455,455,446,446,427,289,289,289,61,19
21768449_new_mexico_precincts_to_42_with_5000_sims,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1207,1207,1207,1077,1077,1077,896,896,896,896,866,866,852,838,838,819,819,384,150,99,43,14
60315800_new_mexico_precincts_to_42_with_5000_sims,1177,1177,1177,1177,1177,1177,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1171,1171,1171,1148,1148,1148,1148,701,594,594,594,447,447,425,339,199,199,76,56,22
2947104_new_mexico_precincts_to_42_with_5000_sims,2412,2412,2412,2412,2412,2412,2403,2403,2403,2403,2403,2403,2403,2403,2403,2080,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,1672,1499,1499,1499,740,399,184,161,144,64,18
30924500_new_mexico_precincts_to_42_with_5000_sims,1957,1957,1957,1957,1957,1957,1957,1957,1957,1957,1957,1957,1957,1957,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1293,1293,1293,1215,1215,1215,1137,990,814,467,276,107,43,12
9581897_new_mexico_precincts_to_42_with_5000_sims,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,946,946,946,946,940,940,940,940,940,940,874,874,874,874,874,874,874,874,579,367,201,137,124,61,24
43700700_new_mexico_precincts_to_42_with_5000_sims,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1354,1354,1354,1354,1354,1354,1354,1354,1353,1353,1353,1353,1353,1153,1153,1153,1153,1017,1017,583,583,441,207,69,20
65470336_new_mexico_precincts_to_42_with_5000_sims,1377,1377,1377,1377,1377,1377,1377,1377,1377,963,963,963,877,874,874,826,758,758,758,758,734,734,734,734,734,734,734,734,731,731,731,731,731,731,671,286,286,176,172,65,18
98656125_new_mexico_precincts_to_42_with_5000_sims,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,961,714,714,714,710,600,593,541,441,399,351,140,107,22
90385020_new_mexico_precincts_to_42_with_5000_sims,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,1908,1845,1845,1845,1845,1607,1607,718,266,144,140,61,17
48019104_new_mexico_precincts_to_42_with_5000_sims,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1255,1255,1255,1255,1255,1000,1000,1000,1000,1000,995,995,995,743,535,424,350,237,237,204,128,90,52,23
13281884_new_mexico_precincts_to_42_with_5000_sims,2621,2621,2621,2621,2621,2621,2621,2621,2203,2203,2203,2203,2203,2105,2105,2105,1442,1437,1390,1390,1024,1024,740,733,731,731,731,731,731,731,731,731,731,731,731,731,731,731,269,165,45
58183219_new_mexico_precincts_to_42_with_5000_sims,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1609,1609,1609,1609,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1165,1165,1165,1165,1165,909,908,908,908,908,637,498,405,104,20
14395966_new_mexico_precincts_to_42_with_5000_sims,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,871,871,861,817,817,817,789,579,579,579,509,483,227,227,90,23
19260045_new_mexico_precincts_to_42_with_5000_sims,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3711,3308,3308,3308,3308,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2175,1344,875,284,246,246,92,56,11
97815176_new_mexico_precincts_to_42_with_5000_sims,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1366,1173,820,820,751,353,353,353,353,353,268,240,239,126,79,50,13
11216450_new_mexico_precincts_to_42_with_5000_sims,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4041,4041,4041,4041,4041,4041,4041,4041,4041,4041,3106,1102,941,909,667,396,274,165,102,40,12
50741936_new_mexico_precincts_to_42_with_5000_sims,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2646,2559,2014,2014,2014,2014,1377,1147,1096,1027,1027,1027,1027,1027,1027,1027,1027,1027,797,558,558,532,523,511,511,365,126,27
