File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
39778956_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,47,44,30,-1,-1
72645510_CA_cd_2020_map_to_52_with_5000_sims.csv,5,51,46,43,17,-1,-1
91344435_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,47,44,40,32,-1
26449824_CA_cd_2020_map_to_52_with_5000_sims.csv,21,50,43,26,-1,-1,-1
24946465_CA_cd_2020_map_to_52_with_5000_sims.csv,7,50,48,45,41,-1,-1
77116732_CA_cd_2020_map_to_52_with_5000_sims.csv,12,49,48,46,45,44,-1
92179364_CA_cd_2020_map_to_52_with_5000_sims.csv,14,51,49,48,40,37,-1
66798580_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,49,33,-1,-1,-1
19099520_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,48,47,46,-1,-1
57814218_CA_cd_2020_map_to_52_with_5000_sims.csv,22,50,40,11,-1,-1,-1
22024640_CA_cd_2020_map_to_52_with_5000_sims.csv,17,50,49,48,-1,-1,-1
97857264_CA_cd_2020_map_to_52_with_5000_sims.csv,6,50,46,42,39,-1,-1
87546281_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,43,35,-1,-1,-1
47778776_CA_cd_2020_map_to_52_with_5000_sims.csv,22,51,44,30,-1,-1,-1
50359816_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,48,47,-1,-1,-1
91302970_CA_cd_2020_map_to_52_with_5000_sims.csv,15,49,47,47,37,36,-1
25096035_CA_cd_2020_map_to_52_with_5000_sims.csv,26,50,46,42,41,-1,-1
99918696_CA_cd_2020_map_to_52_with_5000_sims.csv,14,49,46,45,44,-1,-1
24170480_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,49,41,-1,-1,-1
17844080_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,47,46,39,-1,-1
44786940_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,48,33,-1,-1,-1
74921665_CA_cd_2020_map_to_52_with_5000_sims.csv,5,50,46,38,23,-1,-1
3451869_CA_cd_2020_map_to_52_with_5000_sims.csv,22,50,47,36,26,-1,-1
19638698_CA_cd_2020_map_to_52_with_5000_sims.csv,23,50,46,-1,-1,-1,-1
