Shapefile,File Name,Generation,Max,Min,Median,Ratio Max to Min,Ratio Max to Median
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,1,0.0653652103986761,0.0387727481326197,0.0474867244251839,1.6858544608470512,1.376494403223369
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,2,0.0660648500670161,0.0345672127846746,0.04863721180623605,1.9111997972919006,1.3583190239236853
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,3,0.117673053112908,0.0338562240087965,0.0446058379988886,3.4756697345319507,2.6380639483970674
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,4,0.0859800430165659,0.0295724607601723,0.0448839243736105,2.9074362026836265,1.9156088558762
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,5,0.0816123213018802,0.0342144646703263,0.04905254037238785,2.385316330045092,1.66377359219953
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,6,0.0681554230577368,0.0318431400201994,0.04698840113022315,2.1403486909426346,1.4504733384915904
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,7,0.142661045149403,0.0322653977969944,0.044957270304086305,4.421487255387015,3.1732586116652217
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,8,0.0928225437829242,0.0348892237140079,0.04230746113056515,2.6604932383650683,2.193999386927624
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,9,0.105487516808257,0.0308579274365325,0.0493792744738963,3.418490014445073,2.1362710961665017
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,10,0.144225506081362,0.0314138904269434,0.0442938905926758,4.591138000457948,3.256103813676064
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,11,0.0858148906401754,0.0263553365683682,0.044995164806601096,3.256072652214612,1.9072024962910188
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,12,0.079477328629518,0.0303969679964909,0.050241644870446994,2.6146465870771403,1.5819014053870664
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,13,0.0782579618955053,0.0327985518434802,0.04739228914797175,2.386018817811362,1.6512804783740755
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,14,0.0778285154704247,0.0366310956496478,0.047219065213039604,2.1246570458826284,1.6482434609682246
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,15,0.066414480817048,0.0353519647280038,0.04935760016774475,1.8786644908716559,1.3455775927381886
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,16,0.0935883313177633,0.0320927949149117,0.048014908383506,2.9161788982821846,1.9491515129061998
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,17,0.160906646803548,0.0294488657322274,0.041317493371496955,5.4639335948161705,3.8943951743827254
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,18,0.155325258280029,0.0307589931533571,0.046551468731974396,5.049751059978258,3.3366349657909313
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,19,0.10089531604328,0.0285744154116233,0.0442079243291992,3.5309669363257914,2.282290281080647
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,20,0.0825934275042185,0.0274654465675936,0.0518644070361509,3.0071758455102,1.592487646617624
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,21,0.0898714153702961,0.0313422307511909,0.04518693264152885,2.867422427067712,1.9888806368702303
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,22,0.0690598547368335,0.0301278443547307,0.047587688332628095,2.2922268823388174,1.4512126383218997
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,23,0.0903593369724925,0.0323275767803638,0.043738956952917546,2.7951163053884684,2.065877727028541
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,24,0.0919745331768875,0.0314468933340266,0.04373493076851785,2.9247573742798925,2.102999400266444
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,25,0.0745849509272967,0.031349138788685,0.05018536446026875,2.3791706505895154,1.4861892850523155
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,26,0.105562818343896,0.0294350537574473,0.0465500983762545,3.5862960949132896,2.2677249248896167
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,27,0.113291934182403,0.0235014051740523,0.0397970862866118,4.820645120721873,2.846739416209868
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,28,0.102999067414869,0.0170592297846534,0.0485783464791738,6.037732577324661,2.1202670506503574
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,29,0.133046606418069,0.0226683927843153,0.0427888234992754,5.869256267260665,3.1093775322035215
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,30,0.105299556163352,0.0311007017951033,0.03982883624964225,3.3857614164813175,2.6438019806390356
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,31,0.151347185534609,0.0254540452779396,0.0424663434319487,5.945899124559895,3.563932594694413
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,32,0.0881933293494563,0.0213361794871718,0.048964098543374954,4.1335108472668125,1.8011835604678812
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,33,0.0941178396050833,0.0200706328836738,0.04592727382939015,4.689330931942971,2.0492799105540347
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,34,0.152599398596979,0.0270658621685446,0.0434826368220121,5.638076394785123,3.5094329541608893
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,35,0.113618464526153,0.0230531396379804,0.043915572603035996,4.928546233197878,2.587202165235989
50x50_grid,45079254_50x50_grid_to_50_with_20_sims,36,0.094896600134514,0.0308774028382758,0.0475311107781112,3.0733349119920033,1.9965155154382657
