filename,progenitor_descendents_count,mean_descendents,max_descendents
1000_pa_203_results/92523175_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/93733067_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/94734424_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/9598632_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/97003676_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/9797330_PA_to_203_with_5000_sims.csv,"(278, 4722)",2500.0,4722
1000_pa_203_results/12949010_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13216830_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13450044_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13505372_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13576958_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13851018_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13883170_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13887596_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/1389355_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13957510_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/13963256_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/14092932_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/14107250_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/14122760_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/14328277_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/14454760_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
1000_pa_203_results/14519834_PA_to_203_with_5000_sims.csv,"(5000,)",5000.0,5000
