filename,progenitor_descendents_count,mean_descendents,max_descendents
39039510_PA_to_18_with_5000_sims.csv,"(65, 13, 7, 6, 25, 1, 8, 1, 2, 2, 14, 11, 9, 13, 2, 5, 12, 64, 41, 15, 2, 2, 14, 105, 24, 54, 6, 12, 1, 18, 2, 91, 12, 14, 27, 2, 65, 6, 1, 11, 1, 48, 19, 8, 13, 8, 1, 2, 23, 10, 2, 3, 1, 87, 2, 9, 16, 6, 3, 8, 212, 2, 4, 23, 4, 7, 6, 6, 7, 12, 49, 4, 21, 1, 25, 23, 22, 90, 41, 29, 3, 17, 33, 11, 6, 8, 54, 9, 1, 22, 114, 2, 7, 12, 8, 6, 18, 3, 3, 58, 5, 5, 3, 2, 27, 9, 2, 3, 32, 5, 132, 1, 5, 2, 3, 1, 3, 4, 56, 29, 25, 2, 2, 4, 5, 10, 4, 2, 15, 9, 1, 12, 12, 3, 173, 11, 7, 7, 2, 8, 74, 140, 17, 13, 21, 2, 2, 2, 8, 48, 7, 13, 24, 65, 4, 2, 35, 1, 15, 1, 43, 2, 5, 6, 12, 28, 2, 6, 1, 23, 7, 13, 7, 2, 5, 10, 236, 3, 1, 15, 2, 5, 5, 13, 32, 3, 9, 4, 8, 5, 2, 23, 116, 19, 7, 15, 1, 132, 15, 4, 2, 86, 6, 1, 15, 5, 3, 12, 10, 1, 25, 7, 7, 10, 14, 6, 10, 9, 9, 57, 7, 16, 8, 39, 14, 8, 4, 12, 55, 16, 7, 5, 1, 9, 7, 11, 22, 3, 1, 16, 2, 3, 82, 104, 7, 1, 7, 7, 1, 96, 22, 1, 5, 28, 13, 6, 9, 2, 18, 6, 2)",19.157088122605366,236
62044888_PA_to_18_with_5000_sims.csv,"(22, 277, 3, 1, 1, 8, 1, 8, 7, 280, 1, 4, 6, 4, 74, 4, 28, 3, 1, 11, 4, 5, 9, 2, 7, 2, 10, 8, 4, 99, 1, 1, 9, 35, 1, 1, 1, 3, 6, 1, 3, 9, 1, 10, 6, 11, 16, 4, 7, 6, 7, 3, 8, 2, 3, 4, 8, 2, 11, 7, 1, 3, 23, 32, 5, 15, 5, 21, 2, 3, 19, 2, 11, 9, 6, 29, 10, 10, 4, 3, 8, 5, 32, 20, 30, 1, 2, 10, 14, 5, 5, 1, 27, 8, 1, 29, 3, 71, 1, 4, 6, 11, 23, 120, 6, 43, 9, 6, 17, 8, 43, 99, 14, 5, 48, 4, 1, 75, 1, 64, 25, 15, 7, 18, 10, 28, 6, 2, 8, 41, 3, 119, 27, 15, 29, 8, 7, 5, 13, 1, 4, 11, 15, 4, 18, 5, 22, 1, 62, 4, 2, 5, 6, 16, 6, 5, 6, 9, 17, 9, 37, 3, 7, 6, 16, 4, 30, 1, 1, 8, 1, 5, 2, 1, 6, 94, 4, 80, 7, 8, 2, 22, 10, 6, 5, 3, 50, 2, 23, 90, 1, 98, 11, 9, 46, 23, 1, 1, 5, 8, 1, 17, 2, 1, 2, 1, 4, 8, 7, 1, 5, 2, 1, 10, 1, 1, 6, 8, 9, 11, 9, 2, 15, 15, 6, 87, 3, 2, 1, 1, 8, 5, 1, 32, 41, 12, 3, 34, 27, 8, 34, 2, 63, 1, 23, 72, 9, 5, 3, 16, 4, 1, 35, 5, 11, 9, 24, 1, 4, 6, 24, 12, 9, 4, 21, 6, 1, 4, 10, 16, 1, 53, 116, 6, 6, 3, 1, 38, 12, 84, 7, 2, 23, 5, 11, 2, 71, 48, 28, 4, 6, 28, 22, 12, 1, 8, 12, 4, 14, 2)",16.666666666666668,280
14519834_PA_to_18_with_5000_sims.csv,"(10, 3, 18, 9, 31, 10, 78, 11, 4, 10, 17, 9, 20, 6, 11, 8, 7, 4, 52, 3, 39, 22, 2, 15, 4, 3, 4, 1, 4, 2, 15, 33, 10, 5, 6, 7, 1, 8, 8, 1, 2, 6, 6, 1, 8, 1, 42, 2, 19, 32, 25, 1, 29, 6, 2, 5, 53, 6, 6, 3, 79, 4, 4, 1, 2, 32, 11, 191, 3, 3, 2, 4, 4, 16, 7, 3, 84, 1, 13, 62, 3, 9, 16, 12, 19, 11, 12, 14, 1, 4, 3, 4, 9, 3, 1, 9, 15, 4, 10, 41, 3, 31, 760, 1, 18, 12, 9, 11, 7, 2, 13, 16, 1, 2, 5, 35, 2, 2, 2, 44, 1, 4, 6, 4, 13, 14, 10, 4, 22, 3, 7, 2, 9, 6, 8, 1, 4, 150, 6, 34, 259, 6, 1, 6, 8, 3, 3, 1, 9, 31, 1, 11, 2, 4, 89, 12, 6, 2, 4, 3, 18, 5, 3, 3, 3, 22, 54, 36, 1, 4, 76, 6, 55, 118, 8, 2, 8, 9, 1, 1, 3, 5, 26, 5, 1, 6, 4, 1, 5, 1, 1, 61, 7, 1, 7, 3, 15, 4, 1, 6, 2, 21, 7, 10, 1, 40, 11, 3, 14, 17, 1, 6, 2, 5, 4, 1, 5, 3, 4, 10, 6, 4, 12, 9, 6, 4, 13, 16, 32, 9, 21, 5, 8, 18, 5, 24, 3, 5, 1, 10, 2, 25, 39, 6, 11, 16, 1, 6, 12, 1, 9, 3, 18, 4, 26, 7, 4, 16, 22, 10, 9, 5, 6, 4, 16, 44, 15, 4, 8, 12, 14, 38, 6, 27, 38, 4, 13, 17, 1, 23, 9, 39, 105, 12, 7, 17, 12, 28, 1, 17)",17.24137931034483,760
75968348_PA_to_18_with_5000_sims.csv,"(12, 2, 29, 13, 3, 2, 21, 17, 12, 24, 1, 1, 22, 3, 16, 5, 182, 2, 2, 1, 18, 53, 11, 7, 4, 18, 13, 4, 4, 1, 5, 3, 4, 2, 5, 54, 21, 3, 5, 17, 1, 53, 15, 21, 23, 9, 8, 13, 61, 64, 3, 9, 6, 32, 2, 39, 168, 2, 44, 17, 7, 72, 14, 18, 6, 9, 3, 3, 1, 11, 3, 2, 7, 9, 4, 36, 7, 7, 27, 7, 19, 27, 24, 14, 2, 50, 31, 7, 44, 11, 36, 29, 1, 108, 5, 16, 7, 19, 3, 63, 1, 2, 2, 23, 2, 26, 23, 2, 9, 17, 2, 12, 4, 3, 2, 6, 6, 2, 5, 5, 2, 7, 23, 6, 32, 15, 108, 2, 5, 1, 1, 5, 4, 13, 60, 4, 6, 10, 2, 93, 26, 7, 7, 39, 5, 39, 16, 34, 3, 4, 58, 7, 8, 26, 26, 116, 39, 1, 7, 18, 27, 14, 1, 5, 1, 62, 29, 12, 26, 3, 11, 7, 2, 1, 4, 5, 25, 2, 26, 12, 13, 3, 1, 9, 1, 38, 2, 26, 14, 4, 7, 22, 3, 62, 19, 5, 14, 2, 9, 7, 4, 1, 51, 2, 57, 1, 409, 4, 15, 36, 2, 1, 2, 1, 48, 2, 26, 15, 10, 10, 18, 16, 8, 4, 3, 5, 10, 7, 65, 2, 12, 3, 1, 4, 2, 4, 15, 6, 8, 1, 6, 1, 14, 7, 26, 25, 22, 15, 22, 26, 8, 6, 7, 2, 4, 11, 74, 1, 27, 6, 4, 2, 42, 1, 10, 2, 4, 1, 3, 5, 3, 2, 37, 6, 15, 2, 8, 7, 12, 10, 2, 61, 1, 3)",17.6056338028169,409
46150410_PA_to_18_with_5000_sims.csv,"(17, 3, 13, 18, 17, 1, 19, 33, 5, 93, 1, 17, 105, 5, 19, 7, 20, 41, 17, 7, 9, 24, 14, 1, 2, 12, 2, 11, 3, 9, 2, 84, 13, 11, 34, 2, 3, 2, 3, 11, 1, 11, 6, 58, 1, 18, 16, 7, 5, 5, 21, 2, 4, 14, 1, 1, 4, 3, 45, 6, 10, 1, 13, 6, 5, 6, 39, 3, 24, 4, 75, 8, 59, 6, 38, 15, 35, 4, 17, 8, 6, 8, 12, 1, 4, 3, 1, 39, 16, 135, 13, 8, 3, 30, 3, 45, 11, 1, 12, 33, 5, 37, 3, 5, 1, 4, 21, 1, 1, 6, 2, 5, 9, 12, 3, 21, 10, 10, 4, 4, 3, 6, 16, 2, 187, 3, 40, 43, 6, 28, 1, 3, 15, 6, 1, 2, 7, 6, 28, 1, 4, 34, 36, 2, 1, 70, 35, 17, 30, 13, 12, 22, 41, 2, 66, 2, 31, 1, 2, 538, 35, 2, 63, 4, 15, 2, 9, 57, 2, 16, 8, 7, 2, 4, 10, 8, 7, 16, 7, 8, 3, 26, 7, 12, 2, 4, 5, 22, 4, 18, 4, 28, 26, 3, 36, 2, 12, 17, 1, 1, 51, 10, 5, 5, 31, 11, 5, 1, 25, 39, 31, 17, 20, 1, 9, 33, 1, 5, 3, 1, 20, 10, 18, 3, 20, 3, 100, 17, 48, 4, 60, 8, 11, 43, 1, 14, 15, 14, 23, 27, 2, 3, 19, 8, 7, 10, 6, 13, 1, 96, 14, 2, 85, 14, 15, 12, 3, 16, 3, 6, 2, 30, 11, 2, 5, 16, 7, 23, 30, 14, 16, 5)",18.38235294117647,538
75126580_PA_to_18_with_5000_sims.csv,"(4, 60, 21, 25, 2, 3, 1, 2, 25, 11, 3, 18, 2, 5, 4, 6, 16, 1, 4, 2, 5, 1, 9, 1, 8, 1, 15, 11, 60, 16, 7, 14, 1, 1, 63, 1, 7, 4, 1, 9, 29, 83, 12, 24, 5, 3, 1, 2, 8, 22, 6, 11, 10, 2, 11, 6, 5, 13, 25, 43, 7, 1, 11, 1, 125, 10, 3, 1, 1, 3, 1, 22, 4, 4, 3, 14, 4, 6, 2, 22, 46, 5, 44, 2, 4, 5, 1, 2, 35, 13, 13, 2, 1, 8, 11, 6, 10, 25, 1, 2, 3, 25, 1, 5, 1, 12, 5, 18, 8, 11, 15, 9, 1, 18, 1, 93, 8, 2, 13, 107, 38, 1, 32, 1, 93, 13, 4, 1, 8, 5, 30, 17, 124, 8, 2, 15, 1, 11, 1, 11, 1, 4, 1, 1, 11, 2, 3, 3, 40, 16, 16, 7, 1, 83, 1, 58, 11, 12, 8, 2, 9, 14, 24, 16, 1, 7, 1, 4, 2, 3, 4, 1, 835, 24, 12, 30, 25, 13, 4, 9, 11, 5, 11, 193, 8, 10, 4, 2, 1, 42, 6, 2, 38, 2, 4, 2, 2, 1, 6, 12, 78, 7, 7, 10, 10, 12, 8, 1, 53, 59, 8, 11, 4, 11, 20, 20, 13, 1, 16, 6, 24, 3, 6, 1, 52, 51, 42, 7, 8, 72, 14, 5, 3, 28, 16, 14, 79, 3, 56, 1, 2, 2, 3, 1, 5, 20, 13, 18, 14, 1, 2, 2, 4, 8, 10, 5, 11, 9, 34, 39, 4, 3, 33, 9, 13, 34, 2, 10, 9, 5, 8, 3, 2, 31, 2, 7, 7, 6, 5, 2, 1, 15, 3, 9, 14, 2, 13)",17.421602787456447,835
19558701_PA_to_18_with_5000_sims.csv,"(11, 14, 3, 4, 53, 20, 1, 1, 51, 4, 3, 46, 20, 50, 10, 1, 11, 3, 2, 20, 16, 2, 15, 17, 4, 10, 6, 3, 1, 1, 2, 2, 1, 8, 12, 8, 27, 14, 32, 13, 1, 40, 9, 25, 4, 1, 23, 2, 9, 113, 11, 1, 192, 15, 23, 182, 6, 5, 21, 1, 15, 64, 5, 4, 2, 1, 2, 7, 28, 189, 10, 9, 6, 6, 20, 5, 1, 4, 4, 8, 1, 37, 3, 14, 1, 18, 7, 16, 2, 30, 4, 2, 1, 5, 120, 61, 1, 6, 20, 3, 24, 8, 12, 2, 28, 4, 3, 5, 95, 8, 17, 37, 9, 3, 2, 3, 2, 7, 7, 2, 10, 7, 82, 6, 8, 1, 5, 16, 21, 10, 1, 4, 2, 2, 1, 32, 26, 33, 5, 12, 4, 31, 49, 16, 1, 10, 10, 41, 3, 31, 39, 9, 3, 5, 3, 1, 2, 2, 30, 32, 12, 1, 14, 49, 15, 3, 1, 2, 13, 6, 1, 6, 89, 2, 1, 42, 2, 2, 17, 8, 20, 1, 2, 13, 19, 25, 53, 7, 3, 6, 4, 43, 85, 23, 9, 2, 26, 73, 20, 3, 21, 7, 1, 11, 17, 2, 37, 3, 56, 4, 6, 11, 49, 2, 10, 125, 42, 5, 1, 10, 8, 46, 21, 3, 15, 22, 4, 7, 3, 5, 4, 24, 20, 26, 4, 1, 10, 1, 2, 4, 21, 1, 3, 2, 8, 42, 72, 6, 9, 1, 197, 4, 18, 45, 4, 6, 23, 2, 3, 4, 2, 7, 9, 1, 6, 6, 3, 65, 13, 3, 20, 6, 1, 40, 4, 4, 12, 2, 2, 2, 1, 1, 5, 5, 53, 1, 1, 29, 4, 12, 4)",17.18213058419244,197
14122760_PA_to_18_with_5000_sims.csv,"(2, 6, 2, 4, 106, 4, 10, 1, 4, 1, 13, 24, 8, 1, 5, 59, 3, 8, 7, 3, 7, 29, 47, 6, 12, 26, 880, 2, 2, 8, 8, 4, 14, 14, 8, 48, 12, 5, 565, 1, 15, 17, 1, 21, 9, 6, 2, 6, 8, 7, 69, 23, 2, 1, 5, 5, 1, 1, 3, 48, 2, 1, 1, 13, 13, 5, 80, 3, 11, 35, 14, 4, 10, 52, 2, 4, 2, 4, 3, 9, 8, 3, 20, 13, 30, 131, 4, 1, 1, 7, 10, 1, 3, 23, 6, 1, 1, 29, 25, 5, 5, 6, 2, 4, 4, 1, 4, 3, 17, 1, 4, 14, 28, 33, 17, 14, 2, 3, 2, 6, 17, 11, 2, 12, 1, 5, 1, 1, 44, 5, 7, 39, 3, 54, 1, 15, 1, 30, 1, 17, 7, 5, 42, 3, 25, 11, 3, 2, 28, 4, 1, 8, 6, 3, 17, 3, 5, 2, 1, 6, 8, 1, 1, 1, 13, 87, 5, 2, 2, 4, 5, 110, 2, 5, 23, 23, 6, 3, 16, 2, 7, 14, 6, 16, 141, 4, 6, 32, 28, 3, 6, 2, 17, 18, 17, 12, 8, 49, 29, 1, 9, 2, 29, 9, 13, 7, 32, 1, 2, 9, 1, 59, 2, 22, 13, 16, 8, 66, 8, 6, 1, 12, 154, 7, 1, 3, 2, 1, 10, 2, 1, 7, 9, 1, 2, 20, 54, 1, 3, 55, 1, 5, 6, 15, 7, 15, 1, 20, 1, 1, 7, 15, 7, 6, 1, 9, 5, 43, 1, 11)",19.23076923076923,880
87700829_PA_to_18_with_5000_sims.csv,"(17, 1, 2, 3, 3, 8, 4, 10, 2, 10, 475, 3, 2, 46, 6, 7, 18, 1, 4, 69, 5, 2, 3, 20, 4, 36, 5, 7, 29, 4, 25, 2, 5, 4, 1, 3, 14, 1, 10, 27, 1, 9, 4, 3, 5, 2, 3, 7, 10, 13, 18, 1, 12, 14, 3, 7, 1, 1, 1, 3, 3, 120, 1, 19, 42, 23, 6, 11, 7, 1, 35, 6, 43, 14, 3, 7, 1, 4, 2, 106, 77, 102, 2, 2, 31, 7, 13, 26, 65, 9, 8, 9, 18, 5, 2, 2, 37, 20, 3, 4, 12, 8, 1, 4, 3, 24, 3, 6, 9, 16, 31, 5, 1, 7, 2, 15, 3, 2, 4, 1, 15, 9, 11, 24, 25, 1, 26, 1, 1, 9, 19, 1, 1, 2, 16, 43, 3, 6, 70, 18, 4, 6, 4, 5, 22, 1, 106, 19, 3, 60, 8, 17, 1, 3, 3, 109, 50, 201, 25, 25, 1, 31, 2, 6, 25, 1, 27, 44, 9, 6, 1, 10, 1, 20, 10, 12, 5, 19, 58, 2, 3, 28, 5, 5, 4, 7, 28, 5, 123, 12, 28, 23, 10, 1, 49, 5, 39, 1, 16, 25, 2, 97, 6, 7, 125, 2, 19, 1, 6, 1, 5, 2, 5, 7, 25, 4, 12, 36, 69, 38, 2, 18, 13, 11, 8, 30, 5, 6, 3, 9, 2, 19, 12, 8, 6, 16, 15, 5, 1, 9, 14, 23, 29, 5, 21, 1, 2, 41, 1, 10, 18, 15, 31, 49, 2, 8, 20, 2, 20, 8, 27, 4, 15, 12, 2, 19, 2, 11, 2, 4, 3, 31, 3, 56, 17, 14, 17, 2, 2, 1, 3, 5, 12)",17.6678445229682,475
28427950_PA_to_18_with_5000_sims.csv,"(4, 34, 17, 3, 13, 28, 10, 1, 2, 9, 2, 75, 381, 16, 12, 5, 4, 10, 13, 10, 6, 23, 9, 45, 3, 5, 21, 8, 14, 71, 12, 19, 2, 2, 8, 4, 26, 9, 7, 13, 2, 13, 32, 49, 31, 6, 3, 8, 4, 9, 5, 2, 3, 7, 7, 2, 81, 2, 1, 7, 4, 60, 2, 1, 3, 18, 8, 1, 9, 6, 17, 28, 10, 23, 17, 2, 3, 5, 63, 17, 2, 21, 9, 5, 5, 5, 1, 25, 4, 7, 4, 5, 3, 2, 12, 1, 18, 51, 1, 58, 13, 35, 5, 2, 2, 2, 1, 1, 6, 8, 3, 2, 7, 89, 28, 1, 4, 46, 3, 13, 52, 1, 2, 64, 54, 1, 68, 4, 2, 11, 1, 3, 2, 4, 18, 46, 1, 5, 16, 1, 13, 1, 5, 3, 1, 2, 18, 34, 7, 4, 19, 28, 3, 31, 4, 17, 7, 1, 13, 1, 4, 24, 2, 12, 1, 73, 1, 48, 20, 63, 22, 3, 2, 9, 2, 13, 19, 18, 15, 13, 16, 51, 14, 13, 28, 1, 10, 3, 160, 28, 1, 1, 13, 34, 9, 28, 13, 3, 7, 7, 13, 1, 8, 9, 1, 17, 72, 93, 15, 20, 19, 2, 1, 4, 2, 19, 32, 5, 2, 1, 35, 132, 2, 10, 3, 2, 6, 21, 26, 15, 5, 2, 2, 1, 29, 31, 10, 84, 2, 8, 4, 6, 7, 3, 1, 6, 70, 2, 32, 2, 1, 5, 15, 11, 19, 19, 10, 26, 2, 5, 1, 46, 22, 27, 1, 1, 38, 16, 14, 12, 12, 10, 2, 2, 4, 3, 18, 2, 52, 23, 5, 2, 2, 3, 63, 25, 42, 3, 10, 6, 56, 25, 2, 6, 6, 21)",16.89189189189189,381
